name,avgIncome,medIncome
Arbutus-Ridge ,62675,30929
Downtown ,63251,41858
Dunbar-Southlands ,78117,40463
Fairview ,61627,46940
Grandview-Woodland ,42896,32438
Hastings-Sunrise ,38258,27255
Kensington-Cedar Cottage ,38411,28356
Kerrisdale ,77248,35064
Killarney ,39013,29259
Kitsilano ,63092,44084
Marpole ,39020,26787
Mount Pleasant ,54260,42362
Oakridge ,46515,26695
Renfrew-Collingwood ,33360,25476
Riley Park ,53060,37327
Shaughnessy ,118668,44392
South Cambie ,65459,42094
Strathcona ,31534,17631
Sunset ,34212,25498
Victoria-Fraserview,34298,24758
West End ,47253,36425
West Point Grey ,82042,40304
Vancouver CSD ,50317,32896
Vancouver CMA ,46821,32575
