language,speakers
"Africanlanguages,n.i.e.",0
Afrikaans,5
Akan(Twi),5
Albanian,5
Amharic,10
Arabic,80
Armenian,20
"Bantulanguages,n.i.e.",0
Bengali,55
Berberlanguages(Kabyle),0
Bisayanlanguages,55
Bosnian,30
Bulgarian,25
Burmese,5
Cantonese,"3,195"
"Chinese,n.o.s.","3,060"
Creoles,5
Croatian,25
Czech,40
Danish,15
Dutch,40
Estonian,5
Finnish,20
Flemish,0
Fukien,45
German,175
Greek,50
Gujarati,20
Hakka,25
Hebrew,65
Hindi,80
Hungarian,95
Ilocano,90
"Indo-Iranianlanguages,n.i.e.",5
Italian,75
Japanese,345
Khmer(Cambodian),10
Korean,260
Kurdish,10
Lao,0
Latvian,5
Lingala,0
Lithuanian,0
Macedonian,5
Malay,60
Malayalam,0
Maltese,0
Mandarin,"2,595"
Marathi,0
Nepali,5
"Niger-Congolanguages,n.i.e.",5
Norwegian,10
Oromo,5
Panjabi(Punjabi),240
Pashto,0
Persian(Farsi),165
Polish,80
Portuguese,50
Romanian,105
Rundi(Kirundi),5
Russian,325
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",10
Serbian,80
Serbo-Croatian,20
Shanghainese,40
"Signlanguages,n.i.e.",5
Sindhi,5
Sinhala(Sinhalese),5
"Sino-Tibetanlanguages,n.i.e.",5
"Slaviclanguages,n.i.e.",15
Slovak,15
Slovenian,5
Somali,5
Spanish,265
Swahili,10
Swedish,5
Filipino,890
Taiwanese,190
Tamil,55
Telugu,5
Thai,40
Tibetanlanguages,5
Tigrigna,5
Turkish,25
Ukrainian,45
Urdu,20
Vietnamese,125
Yiddish,5
